BridgeSense DT 교량 점검 분석 리포트,,,,,,,,,,
,,,,,,,,,,
작성일자,2026-08-27,,,,,,,,,
평가기준,"제3종시설물 안전등급 평가 매뉴얼(국토안전관리원, 2023.12)",,,,,,,,,
유의사항,본 등급은 AI 추론 기반 보조지표이며 법정 안전등급을 대체하지 않음,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
[1. 대상 시설물],,,,,,,,,,
항목,값,,,,,,,,,
시설명,극락교,,,,,,,,,
소재지,광주광역시 서구 마륵동,,,,,,,,,
준공년도,1978,,,,,,,,,
상부구조,PSC I 거더교,,,,,,,,,
하부구조,반중력식,,,,,,,,,
연장(m),380,,,,,,,,,
총폭(m),35,,,,,,,,,
경간수,13,,,,,,,,,
최대경간장(m),30,,,,,,,,,
설계하중,DB-18,,,,,,,,,
관리기관,광주광역시 종합건설본부,,,,,,,,,
,,,,,,,,,,
[2. 분석 결과 요약],,,,,,,,,,
항목,값,,,,,,,,,
종합 안전등급,D,,,,,,,,,
종합 상태점수,4,,,,,,,,,
주요시설 상태점수,4,,,,,,,,,
일반시설 상태점수,해당없음,,,,,,,,,
부대시설 상태점수,해당없음,,,,,,,,,
분석 부재 수,3,,,,,,,,,
검출 결함 수,5,,,,,,,,,
강제하향 적용,Y,,,,,,,,,
,,,,,,,,,,
[3. 검출된 결함 목록],,,,,,,,,,
No,부재ID,부재명,평가항목,시설영역,결함유형,면적률(%),신뢰도(%),상태,점수,등급
1,Pier_1,P1 교각,교각·교대,주요시설,균열,12.4,94,c,5,C
2,Pier_7,P7 교각,교각·교대,주요시설,균열,21.8,96,d,2,D
3,Pier_7,P7 교각,교각·교대,주요시설,백태,8.2,88,b,8,B
4,Pier_12,P12 교각,교각·교대,주요시설,균열,11.1,91,c,5,C
5,Pier_12,P12 교각,교각·교대,주요시설,강재부식,4.6,83,b,8,B
,,,,,,,,,,
[4. 부재별 종합 등급],,,,,,,,,,
부재ID,부재명,평가항목,상태,점수,등급,검출결함수,,,,
Pier_1,P1 교각,교각·교대,c,5,C,1,,,,
Pier_7,P7 교각,교각·교대,d,2,D,2,,,,
Pier_12,P12 교각,교각·교대,c,5,C,2,,,,
,,,,,,,,,,
[5. 부재 등급 분포],,,,,,,,,,
등급,등급명,부재수,비율(%),,,,,,,
A,우수,0,0,,,,,,,
B,양호,0,0,,,,,,,
C,주의,2,66.7,,,,,,,
D,미흡,1,33.3,,,,,,,
E,불량,0,0,,,,,,,
,,,,,,,,,,
[6. 시설영역별 상태점수],,,,,,,,,,
시설영역,가중치,평가항목수,상태점수,비고,,,,,,
주요시설,60,3,4,,,,,,,
일반시설,20,0,,해당없음,,,,,,
부대시설,20,0,,해당없음,,,,,,
,,,,,,,,,,
[7. 총평],,,,,,,,,,
구분,내용,,,,,,,,,
종합판정,D등급(미흡),,,,,,,,,
주요근거,"P7 교각 균열 면적률 21.8%, 상태 d 판정에 따른 주요시설 강제하향",,,,,,,,,
권고사항,P7 교각 정밀안전진단 및 균열폭 실측 우선 실시,,,,,,,,,
추가관찰,"P12 교각 강재부식 진행성 손상 경과 관찰, 방청처리 검토",,,,,,,,,
